feature,type,reference_mean,current_mean,ks_statistic,ks_p_value,psi,psi_status,ks_status
CreditScore,numeric,650.5624285714285,650.4503333333333,0.010142857142857143,0.9807561488412629,0.003188259274301572,No major drift,No major drift
Age,numeric,38.99842857142857,48.743,0.4408095238095238,6.695e-321,1.347627115545279,Strong drift,Possible drift
Tenure,numeric,5.010571428571429,5.018,0.013238095238095238,0.850724469810327,0.005461548827257765,No major drift,No major drift
Balance,numeric,76314.46226142858,101681.58381620832,0.28514285714285714,5.503761875044003e-151,0.725550207310539,Strong drift,Possible drift
NumOfProducts,numeric,1.533,1.5236666666666667,0.004666666666666667,0.999999999949694,0.000616139230515855,No major drift,No major drift
HasCrCard,numeric,0.7074285714285714,0.701,0.0064285714285714285,0.999992253570432,0.00019840830789297694,No major drift,No major drift
IsActiveMember,numeric,0.517,0.5106666666666667,0.006333333333333333,0.9999948160034153,0.0001605695049552775,No major drift,No major drift
EstimatedSalary,numeric,99466.31604999998,82252.3103442,0.18619047619047618,4.2948466694980525e-64,0.8398035009198297,Strong drift,Possible drift
